rewire_id,label_pred
sexism2022_english-5494,not sexist
sexism2022_english-16048,not sexist
sexism2022_english-13220,not sexist
sexism2022_english-3584,sexist
sexism2022_english-15105,not sexist
sexism2022_english-163,not sexist
sexism2022_english-4351,sexist
sexism2022_english-14320,not sexist
sexism2022_english-13958,not sexist
sexism2022_english-6124,not sexist
sexism2022_english-11995,sexist
sexism2022_english-456,sexist
sexism2022_english-5321,not sexist
sexism2022_english-17212,sexist
sexism2022_english-16704,sexist
sexism2022_english-5708,sexist
sexism2022_english-9155,sexist
sexism2022_english-18672,not sexist
sexism2022_english-3422,not sexist
sexism2022_english-15629,not sexist
sexism2022_english-14798,not sexist
sexism2022_english-5066,sexist
sexism2022_english-15911,not sexist
sexism2022_english-8582,sexist
sexism2022_english-3327,not sexist
sexism2022_english-6991,not sexist
sexism2022_english-10614,sexist
sexism2022_english-17816,not sexist
sexism2022_english-6663,not sexist
sexism2022_english-14585,not sexist
sexism2022_english-18971,not sexist
sexism2022_english-3520,not sexist
sexism2022_english-1375,not sexist
sexism2022_english-4407,not sexist
sexism2022_english-5042,not sexist
sexism2022_english-19380,not sexist
sexism2022_english-4607,not sexist
sexism2022_english-11758,sexist
sexism2022_english-16297,not sexist
sexism2022_english-307,sexist
sexism2022_english-6902,not sexist
sexism2022_english-10645,sexist
sexism2022_english-11217,not sexist
sexism2022_english-13021,not sexist
sexism2022_english-2537,not sexist
sexism2022_english-13893,not sexist
sexism2022_english-17200,not sexist
sexism2022_english-13005,sexist
sexism2022_english-19642,not sexist
sexism2022_english-3823,not sexist
sexism2022_english-19031,sexist
sexism2022_english-2564,not sexist
sexism2022_english-9768,not sexist
sexism2022_english-2698,not sexist
sexism2022_english-15098,sexist
sexism2022_english-8726,sexist
sexism2022_english-11951,not sexist
sexism2022_english-11471,not sexist
sexism2022_english-4548,sexist
sexism2022_english-2838,not sexist
sexism2022_english-3742,not sexist
sexism2022_english-13911,not sexist
sexism2022_english-10655,sexist
sexism2022_english-19418,sexist
sexism2022_english-3487,sexist
sexism2022_english-18133,sexist
sexism2022_english-6093,not sexist
sexism2022_english-12564,sexist
sexism2022_english-10238,not sexist
sexism2022_english-4807,not sexist
sexism2022_english-6215,not sexist
sexism2022_english-12447,not sexist
sexism2022_english-8968,not sexist
sexism2022_english-15893,not sexist
sexism2022_english-3322,sexist
sexism2022_english-14098,not sexist
sexism2022_english-8402,sexist
sexism2022_english-17383,not sexist
sexism2022_english-4181,not sexist
sexism2022_english-980,not sexist
sexism2022_english-1987,not sexist
sexism2022_english-4355,not sexist
sexism2022_english-7555,not sexist
sexism2022_english-5315,not sexist
sexism2022_english-11377,not sexist
sexism2022_english-11823,not sexist
sexism2022_english-2081,not sexist
sexism2022_english-16060,not sexist
sexism2022_english-6272,not sexist
sexism2022_english-7777,sexist
sexism2022_english-10342,sexist
sexism2022_english-17761,sexist
sexism2022_english-2921,not sexist
sexism2022_english-14006,not sexist
sexism2022_english-18817,not sexist
sexism2022_english-13799,not sexist
sexism2022_english-10191,sexist
sexism2022_english-9845,sexist
sexism2022_english-12167,not sexist
sexism2022_english-3761,not sexist
sexism2022_english-5760,not sexist
sexism2022_english-6994,sexist
sexism2022_english-3819,not sexist
sexism2022_english-3567,not sexist
sexism2022_english-178,sexist
sexism2022_english-15394,not sexist
sexism2022_english-7761,not sexist
sexism2022_english-14671,not sexist
sexism2022_english-15070,sexist
sexism2022_english-13774,not sexist
sexism2022_english-17223,not sexist
sexism2022_english-6644,not sexist
sexism2022_english-18984,sexist
sexism2022_english-17490,not sexist
sexism2022_english-14175,not sexist
sexism2022_english-257,not sexist
sexism2022_english-2272,not sexist
sexism2022_english-10056,not sexist
sexism2022_english-11840,not sexist
sexism2022_english-17097,not sexist
sexism2022_english-858,not sexist
sexism2022_english-16020,not sexist
sexism2022_english-2213,not sexist
sexism2022_english-18692,sexist
sexism2022_english-11258,not sexist
sexism2022_english-6457,not sexist
sexism2022_english-5756,not sexist
sexism2022_english-13274,not sexist
sexism2022_english-2496,not sexist
sexism2022_english-2360,not sexist
sexism2022_english-2873,not sexist
sexism2022_english-9176,sexist
sexism2022_english-4734,not sexist
sexism2022_english-8442,not sexist
sexism2022_english-2279,sexist
sexism2022_english-5030,sexist
sexism2022_english-11060,not sexist
sexism2022_english-14086,not sexist
sexism2022_english-1969,not sexist
sexism2022_english-3054,not sexist
sexism2022_english-7869,sexist
sexism2022_english-15652,not sexist
sexism2022_english-10035,not sexist
sexism2022_english-14479,sexist
sexism2022_english-19759,sexist
sexism2022_english-14632,not sexist
sexism2022_english-1322,sexist
sexism2022_english-4599,not sexist
sexism2022_english-4257,not sexist
sexism2022_english-6997,sexist
sexism2022_english-754,not sexist
sexism2022_english-3815,sexist
sexism2022_english-1502,sexist
sexism2022_english-5435,not sexist
sexism2022_english-7333,not sexist
sexism2022_english-14588,not sexist
sexism2022_english-17617,not sexist
sexism2022_english-19806,not sexist
sexism2022_english-18156,not sexist
sexism2022_english-6984,not sexist
sexism2022_english-792,not sexist
sexism2022_english-15218,not sexist
sexism2022_english-15257,sexist
sexism2022_english-13528,not sexist
sexism2022_english-19153,sexist
sexism2022_english-4519,not sexist
sexism2022_english-2605,not sexist
sexism2022_english-8905,not sexist
sexism2022_english-9371,not sexist
sexism2022_english-19084,not sexist
sexism2022_english-15253,not sexist
sexism2022_english-16572,not sexist
sexism2022_english-14406,not sexist
sexism2022_english-17094,not sexist
sexism2022_english-3283,sexist
sexism2022_english-4052,sexist
sexism2022_english-979,not sexist
sexism2022_english-15291,not sexist
sexism2022_english-15948,not sexist
sexism2022_english-16693,not sexist
sexism2022_english-2677,sexist
sexism2022_english-16522,sexist
sexism2022_english-10460,not sexist
sexism2022_english-5753,not sexist
sexism2022_english-7569,sexist
sexism2022_english-105,not sexist
sexism2022_english-15444,not sexist
sexism2022_english-11097,not sexist
sexism2022_english-9269,not sexist
sexism2022_english-1559,sexist
sexism2022_english-1240,not sexist
sexism2022_english-14673,not sexist
sexism2022_english-5275,sexist
sexism2022_english-13501,not sexist
sexism2022_english-18843,sexist
sexism2022_english-13650,sexist
sexism2022_english-18345,not sexist
sexism2022_english-12691,not sexist
sexism2022_english-7457,not sexist
sexism2022_english-9952,sexist
sexism2022_english-3914,not sexist
sexism2022_english-3738,sexist
sexism2022_english-17762,not sexist
sexism2022_english-2597,not sexist
sexism2022_english-16250,not sexist
sexism2022_english-6904,not sexist
sexism2022_english-11808,not sexist
sexism2022_english-7284,not sexist
sexism2022_english-7106,sexist
sexism2022_english-2733,not sexist
sexism2022_english-9881,not sexist
sexism2022_english-15118,sexist
sexism2022_english-12560,not sexist
sexism2022_english-16070,sexist
sexism2022_english-16135,not sexist
sexism2022_english-14963,not sexist
sexism2022_english-3113,not sexist
sexism2022_english-16195,not sexist
sexism2022_english-19690,not sexist
sexism2022_english-15101,not sexist
sexism2022_english-8184,not sexist
sexism2022_english-11366,not sexist
sexism2022_english-11470,not sexist
sexism2022_english-10089,not sexist
sexism2022_english-2152,not sexist
sexism2022_english-6949,sexist
sexism2022_english-16037,sexist
sexism2022_english-16929,not sexist
sexism2022_english-13429,not sexist
sexism2022_english-3886,sexist
sexism2022_english-19425,not sexist
sexism2022_english-18433,not sexist
sexism2022_english-14534,not sexist
sexism2022_english-6321,not sexist
sexism2022_english-5506,sexist
sexism2022_english-15289,not sexist
sexism2022_english-17463,not sexist
sexism2022_english-4778,not sexist
sexism2022_english-85,not sexist
sexism2022_english-15946,not sexist
sexism2022_english-12016,not sexist
sexism2022_english-3576,sexist
sexism2022_english-7571,not sexist
sexism2022_english-1983,not sexist
sexism2022_english-10477,sexist
sexism2022_english-5367,not sexist
sexism2022_english-4078,not sexist
sexism2022_english-960,sexist
sexism2022_english-10331,not sexist
sexism2022_english-117,not sexist
sexism2022_english-19518,not sexist
sexism2022_english-4236,not sexist
sexism2022_english-14544,not sexist
sexism2022_english-18962,not sexist
sexism2022_english-17155,not sexist
sexism2022_english-9016,sexist
sexism2022_english-8423,not sexist
sexism2022_english-2322,sexist
sexism2022_english-9612,not sexist
sexism2022_english-15587,not sexist
sexism2022_english-8465,sexist
sexism2022_english-11203,not sexist
sexism2022_english-6367,not sexist
sexism2022_english-15728,not sexist
sexism2022_english-4224,not sexist
sexism2022_english-13156,not sexist
sexism2022_english-17266,not sexist
sexism2022_english-18946,not sexist
sexism2022_english-19584,not sexist
sexism2022_english-18022,not sexist
sexism2022_english-17534,sexist
sexism2022_english-19617,not sexist
sexism2022_english-18023,not sexist
sexism2022_english-8243,not sexist
sexism2022_english-12552,not sexist
sexism2022_english-17623,sexist
sexism2022_english-14174,not sexist
sexism2022_english-6359,not sexist
sexism2022_english-14977,not sexist
sexism2022_english-18082,not sexist
sexism2022_english-17858,not sexist
sexism2022_english-16932,not sexist
sexism2022_english-3136,not sexist
sexism2022_english-4274,not sexist
sexism2022_english-4109,not sexist
sexism2022_english-3805,not sexist
sexism2022_english-12561,not sexist
sexism2022_english-1519,not sexist
sexism2022_english-10362,not sexist
sexism2022_english-13085,not sexist
sexism2022_english-5795,sexist
sexism2022_english-13415,not sexist
sexism2022_english-4704,not sexist
sexism2022_english-18035,not sexist
sexism2022_english-10127,not sexist
sexism2022_english-17321,sexist
sexism2022_english-3939,not sexist
sexism2022_english-12143,not sexist
sexism2022_english-57,not sexist
sexism2022_english-5890,not sexist
sexism2022_english-15602,not sexist
sexism2022_english-13978,not sexist
sexism2022_english-549,not sexist
sexism2022_english-9138,not sexist
sexism2022_english-19689,not sexist
sexism2022_english-270,not sexist
sexism2022_english-695,not sexist
sexism2022_english-7552,sexist
sexism2022_english-5335,not sexist
sexism2022_english-12595,not sexist
sexism2022_english-649,not sexist
sexism2022_english-8951,not sexist
sexism2022_english-7035,not sexist
sexism2022_english-8945,not sexist
sexism2022_english-18025,not sexist
sexism2022_english-8157,not sexist
sexism2022_english-362,sexist
sexism2022_english-727,sexist
sexism2022_english-9844,sexist
sexism2022_english-13433,not sexist
sexism2022_english-6143,not sexist
sexism2022_english-8792,not sexist
sexism2022_english-1624,not sexist
sexism2022_english-17077,not sexist
sexism2022_english-1338,not sexist
sexism2022_english-13740,not sexist
sexism2022_english-11123,not sexist
sexism2022_english-18632,sexist
sexism2022_english-7286,not sexist
sexism2022_english-8069,not sexist
sexism2022_english-6100,not sexist
sexism2022_english-1446,not sexist
sexism2022_english-16981,not sexist
sexism2022_english-12553,not sexist
sexism2022_english-16998,not sexist
sexism2022_english-5095,not sexist
sexism2022_english-7460,not sexist
sexism2022_english-9467,not sexist
sexism2022_english-10230,not sexist
sexism2022_english-10166,not sexist
sexism2022_english-5798,sexist
sexism2022_english-755,not sexist
sexism2022_english-11544,not sexist
sexism2022_english-17326,not sexist
sexism2022_english-16711,not sexist
sexism2022_english-11161,not sexist
sexism2022_english-15594,not sexist
sexism2022_english-12160,not sexist
sexism2022_english-3926,not sexist
sexism2022_english-352,not sexist
sexism2022_english-7372,not sexist
sexism2022_english-13315,not sexist
sexism2022_english-8445,sexist
sexism2022_english-4589,sexist
sexism2022_english-6699,not sexist
sexism2022_english-16625,not sexist
sexism2022_english-16768,not sexist
sexism2022_english-1653,sexist
sexism2022_english-13753,not sexist
sexism2022_english-4125,not sexist
sexism2022_english-10896,sexist
sexism2022_english-12688,not sexist
sexism2022_english-14319,not sexist
sexism2022_english-6998,sexist
sexism2022_english-4581,sexist
sexism2022_english-12940,sexist
sexism2022_english-13398,not sexist
sexism2022_english-16089,sexist
sexism2022_english-2581,sexist
sexism2022_english-16298,sexist
sexism2022_english-17468,not sexist
sexism2022_english-9714,not sexist
sexism2022_english-3402,not sexist
sexism2022_english-8314,not sexist
sexism2022_english-4144,not sexist
sexism2022_english-3124,sexist
sexism2022_english-1067,not sexist
sexism2022_english-3488,not sexist
sexism2022_english-222,not sexist
sexism2022_english-1703,not sexist
sexism2022_english-15142,sexist
sexism2022_english-9053,not sexist
sexism2022_english-2900,sexist
sexism2022_english-4853,not sexist
sexism2022_english-18204,not sexist
sexism2022_english-19008,sexist
sexism2022_english-9536,not sexist
sexism2022_english-17498,not sexist
sexism2022_english-11383,not sexist
sexism2022_english-17871,not sexist
sexism2022_english-6796,not sexist
sexism2022_english-12868,not sexist
sexism2022_english-4844,not sexist
sexism2022_english-13466,not sexist
sexism2022_english-11846,not sexist
sexism2022_english-9616,not sexist
sexism2022_english-5254,not sexist
sexism2022_english-7832,sexist
sexism2022_english-8964,not sexist
sexism2022_english-17422,not sexist
sexism2022_english-5700,not sexist
sexism2022_english-2728,not sexist
sexism2022_english-16034,not sexist
sexism2022_english-18783,not sexist
sexism2022_english-16082,not sexist
sexism2022_english-2194,sexist
sexism2022_english-18048,not sexist
sexism2022_english-2340,not sexist
sexism2022_english-12136,not sexist
sexism2022_english-6955,not sexist
sexism2022_english-6186,sexist
sexism2022_english-15030,not sexist
sexism2022_english-5938,not sexist
sexism2022_english-14425,sexist
sexism2022_english-16814,sexist
sexism2022_english-9205,not sexist
sexism2022_english-15479,sexist
sexism2022_english-12715,not sexist
sexism2022_english-3370,not sexist
sexism2022_english-187,not sexist
sexism2022_english-5916,not sexist
sexism2022_english-11578,not sexist
sexism2022_english-7322,not sexist
sexism2022_english-9174,not sexist
sexism2022_english-1621,not sexist
sexism2022_english-12491,sexist
sexism2022_english-10205,not sexist
sexism2022_english-4705,not sexist
sexism2022_english-10254,not sexist
sexism2022_english-15507,not sexist
sexism2022_english-9000,not sexist
sexism2022_english-11232,not sexist
sexism2022_english-9810,not sexist
sexism2022_english-6460,not sexist
sexism2022_english-1513,not sexist
sexism2022_english-7868,not sexist
sexism2022_english-170,not sexist
sexism2022_english-5105,not sexist
sexism2022_english-3000,not sexist
sexism2022_english-7259,sexist
sexism2022_english-1188,not sexist
sexism2022_english-2768,not sexist
sexism2022_english-2636,not sexist
sexism2022_english-19834,not sexist
sexism2022_english-6988,sexist
sexism2022_english-14253,not sexist
sexism2022_english-5461,not sexist
sexism2022_english-4495,not sexist
sexism2022_english-8256,sexist
sexism2022_english-17472,not sexist
sexism2022_english-9373,not sexist
sexism2022_english-10917,sexist
sexism2022_english-18892,not sexist
sexism2022_english-19010,not sexist
sexism2022_english-7290,sexist
sexism2022_english-11275,sexist
sexism2022_english-545,not sexist
sexism2022_english-15713,not sexist
sexism2022_english-2721,not sexist
sexism2022_english-13264,not sexist
sexism2022_english-1962,not sexist
sexism2022_english-9563,not sexist
sexism2022_english-13910,not sexist
sexism2022_english-17760,not sexist
sexism2022_english-15425,sexist
sexism2022_english-8434,sexist
sexism2022_english-10058,not sexist
sexism2022_english-9720,not sexist
sexism2022_english-569,not sexist
sexism2022_english-3477,not sexist
sexism2022_english-16145,not sexist
sexism2022_english-14776,sexist
sexism2022_english-19765,not sexist
sexism2022_english-15200,not sexist
sexism2022_english-18742,not sexist
sexism2022_english-15251,not sexist
sexism2022_english-3355,not sexist
sexism2022_english-18,not sexist
sexism2022_english-13194,not sexist
sexism2022_english-15998,not sexist
sexism2022_english-19072,sexist
sexism2022_english-16727,not sexist
sexism2022_english-9642,not sexist
sexism2022_english-12531,sexist
sexism2022_english-17443,sexist
sexism2022_english-6348,not sexist
sexism2022_english-9505,not sexist
sexism2022_english-9894,sexist
sexism2022_english-10118,not sexist
sexism2022_english-8223,not sexist
sexism2022_english-4645,not sexist
sexism2022_english-13272,not sexist
sexism2022_english-2499,not sexist
sexism2022_english-14322,not sexist
sexism2022_english-10119,sexist
sexism2022_english-13673,not sexist
sexism2022_english-5400,sexist
sexism2022_english-6070,not sexist
sexism2022_english-16861,not sexist
sexism2022_english-5817,not sexist
sexism2022_english-14033,not sexist
sexism2022_english-16144,not sexist
sexism2022_english-2384,not sexist
sexism2022_english-13663,not sexist
sexism2022_english-7057,not sexist
sexism2022_english-8364,not sexist
sexism2022_english-14186,not sexist
sexism2022_english-14777,not sexist
sexism2022_english-8846,not sexist
sexism2022_english-1695,not sexist
sexism2022_english-8573,not sexist
sexism2022_english-6504,not sexist
sexism2022_english-10819,sexist
sexism2022_english-17014,sexist
sexism2022_english-4444,not sexist
sexism2022_english-17755,not sexist
sexism2022_english-8580,not sexist
sexism2022_english-9695,not sexist
sexism2022_english-18722,not sexist
sexism2022_english-11532,not sexist
sexism2022_english-3157,not sexist
sexism2022_english-15806,not sexist
sexism2022_english-11645,not sexist
sexism2022_english-6818,sexist
sexism2022_english-17630,not sexist
sexism2022_english-15473,not sexist
sexism2022_english-15202,sexist
sexism2022_english-955,not sexist
sexism2022_english-15325,not sexist
sexism2022_english-3537,not sexist
sexism2022_english-7112,not sexist
sexism2022_english-7528,not sexist
sexism2022_english-1993,not sexist
sexism2022_english-8939,not sexist
sexism2022_english-16075,sexist
sexism2022_english-11112,not sexist
sexism2022_english-7329,sexist
sexism2022_english-10208,sexist
sexism2022_english-10069,not sexist
sexism2022_english-8388,sexist
sexism2022_english-15678,not sexist
sexism2022_english-2935,not sexist
sexism2022_english-6939,sexist
sexism2022_english-15110,not sexist
sexism2022_english-5029,not sexist
sexism2022_english-19536,not sexist
sexism2022_english-16596,not sexist
sexism2022_english-14466,not sexist
sexism2022_english-408,not sexist
sexism2022_english-19917,not sexist
sexism2022_english-2917,not sexist
sexism2022_english-9074,not sexist
sexism2022_english-18536,not sexist
sexism2022_english-5220,not sexist
sexism2022_english-17394,sexist
sexism2022_english-1999,not sexist
sexism2022_english-975,sexist
sexism2022_english-1148,not sexist
sexism2022_english-3011,not sexist
sexism2022_english-2566,sexist
sexism2022_english-7488,sexist
sexism2022_english-12132,not sexist
sexism2022_english-1308,not sexist
sexism2022_english-591,not sexist
sexism2022_english-19228,not sexist
sexism2022_english-15736,not sexist
sexism2022_english-5319,not sexist
sexism2022_english-14948,not sexist
sexism2022_english-6531,not sexist
sexism2022_english-14635,not sexist
sexism2022_english-15336,sexist
sexism2022_english-8079,not sexist
sexism2022_english-16236,sexist
sexism2022_english-10998,not sexist
sexism2022_english-2423,not sexist
sexism2022_english-19475,not sexist
sexism2022_english-8240,sexist
sexism2022_english-3242,not sexist
sexism2022_english-7839,not sexist
sexism2022_english-7192,not sexist
sexism2022_english-15937,not sexist
sexism2022_english-5518,not sexist
sexism2022_english-6942,not sexist
sexism2022_english-5538,sexist
sexism2022_english-12631,not sexist
sexism2022_english-1979,not sexist
sexism2022_english-9851,not sexist
sexism2022_english-6793,not sexist
sexism2022_english-7260,sexist
sexism2022_english-17023,not sexist
sexism2022_english-4871,not sexist
sexism2022_english-4901,sexist
sexism2022_english-14716,sexist
sexism2022_english-19137,not sexist
sexism2022_english-17488,not sexist
sexism2022_english-6667,not sexist
sexism2022_english-6436,not sexist
sexism2022_english-5692,not sexist
sexism2022_english-7237,not sexist
sexism2022_english-4855,not sexist
sexism2022_english-6646,not sexist
sexism2022_english-19043,sexist
sexism2022_english-9414,not sexist
sexism2022_english-7685,not sexist
sexism2022_english-4366,not sexist
sexism2022_english-15785,sexist
sexism2022_english-12767,sexist
sexism2022_english-2511,not sexist
sexism2022_english-11475,sexist
sexism2022_english-9726,not sexist
sexism2022_english-5876,sexist
sexism2022_english-15520,not sexist
sexism2022_english-5389,not sexist
sexism2022_english-9940,not sexist
sexism2022_english-12233,sexist
sexism2022_english-8255,not sexist
sexism2022_english-15294,not sexist
sexism2022_english-15204,not sexist
sexism2022_english-3107,not sexist
sexism2022_english-17024,not sexist
sexism2022_english-2146,sexist
sexism2022_english-13526,sexist
sexism2022_english-8525,sexist
sexism2022_english-2745,not sexist
sexism2022_english-641,not sexist
sexism2022_english-16746,not sexist
sexism2022_english-14470,not sexist
sexism2022_english-8857,not sexist
sexism2022_english-14966,sexist
sexism2022_english-14946,sexist
sexism2022_english-19495,not sexist
sexism2022_english-18102,not sexist
sexism2022_english-16101,not sexist
sexism2022_english-132,not sexist
sexism2022_english-1117,sexist
sexism2022_english-11772,not sexist
sexism2022_english-13473,not sexist
sexism2022_english-6920,not sexist
sexism2022_english-6916,not sexist
sexism2022_english-17651,sexist
sexism2022_english-15222,sexist
sexism2022_english-5514,not sexist
sexism2022_english-2526,not sexist
sexism2022_english-8463,not sexist
sexism2022_english-15261,not sexist
sexism2022_english-13258,not sexist
sexism2022_english-6454,not sexist
sexism2022_english-10795,not sexist
sexism2022_english-16343,not sexist
sexism2022_english-19478,sexist
sexism2022_english-10866,not sexist
sexism2022_english-10120,sexist
sexism2022_english-9830,not sexist
sexism2022_english-19148,not sexist
sexism2022_english-4782,not sexist
sexism2022_english-6171,not sexist
sexism2022_english-19625,not sexist
sexism2022_english-18904,not sexist
sexism2022_english-12991,not sexist
sexism2022_english-12680,sexist
sexism2022_english-13337,not sexist
sexism2022_english-10139,not sexist
sexism2022_english-5811,not sexist
sexism2022_english-407,not sexist
sexism2022_english-13041,not sexist
sexism2022_english-15630,not sexist
sexism2022_english-391,not sexist
sexism2022_english-19371,not sexist
sexism2022_english-3090,sexist
sexism2022_english-15711,not sexist
sexism2022_english-11654,not sexist
sexism2022_english-11543,not sexist
sexism2022_english-2918,not sexist
sexism2022_english-19038,not sexist
sexism2022_english-8654,not sexist
sexism2022_english-3692,not sexist
sexism2022_english-9749,not sexist
sexism2022_english-11882,not sexist
sexism2022_english-4314,not sexist
sexism2022_english-7200,not sexist
sexism2022_english-17415,sexist
sexism2022_english-2395,not sexist
sexism2022_english-13084,not sexist
sexism2022_english-19217,not sexist
sexism2022_english-2849,not sexist
sexism2022_english-4973,not sexist
sexism2022_english-11963,not sexist
sexism2022_english-15595,not sexist
sexism2022_english-11482,not sexist
sexism2022_english-6564,sexist
sexism2022_english-13679,sexist
sexism2022_english-8051,not sexist
sexism2022_english-19982,not sexist
sexism2022_english-8799,sexist
sexism2022_english-9200,sexist
sexism2022_english-13431,not sexist
sexism2022_english-9161,not sexist
sexism2022_english-8763,not sexist
sexism2022_english-9928,not sexist
sexism2022_english-18508,not sexist
sexism2022_english-12778,not sexist
sexism2022_english-5111,sexist
sexism2022_english-19993,sexist
sexism2022_english-3382,not sexist
sexism2022_english-6826,not sexist
sexism2022_english-12735,sexist
sexism2022_english-15788,not sexist
sexism2022_english-10355,sexist
sexism2022_english-18626,not sexist
sexism2022_english-5717,not sexist
sexism2022_english-6423,sexist
sexism2022_english-11959,not sexist
sexism2022_english-938,not sexist
sexism2022_english-10525,sexist
sexism2022_english-139,not sexist
sexism2022_english-2652,not sexist
sexism2022_english-12887,not sexist
sexism2022_english-15643,not sexist
sexism2022_english-15310,not sexist
sexism2022_english-13322,not sexist
sexism2022_english-8716,not sexist
sexism2022_english-5668,sexist
sexism2022_english-14290,sexist
sexism2022_english-19845,not sexist
sexism2022_english-4283,sexist
sexism2022_english-8660,sexist
sexism2022_english-7702,not sexist
sexism2022_english-9796,sexist
sexism2022_english-9173,not sexist
sexism2022_english-13897,sexist
sexism2022_english-4397,not sexist
sexism2022_english-2595,not sexist
sexism2022_english-16185,sexist
sexism2022_english-14210,not sexist
sexism2022_english-6214,not sexist
sexism2022_english-827,not sexist
sexism2022_english-6453,not sexist
sexism2022_english-9622,not sexist
sexism2022_english-10834,not sexist
sexism2022_english-5628,not sexist
sexism2022_english-3349,not sexist
sexism2022_english-13824,not sexist
sexism2022_english-5291,sexist
sexism2022_english-15530,not sexist
sexism2022_english-6886,not sexist
sexism2022_english-1662,not sexist
sexism2022_english-8871,not sexist
sexism2022_english-19696,not sexist
sexism2022_english-17232,not sexist
sexism2022_english-8541,not sexist
sexism2022_english-4486,sexist
sexism2022_english-12503,sexist
sexism2022_english-14380,not sexist
sexism2022_english-7845,not sexist
sexism2022_english-5412,not sexist
sexism2022_english-11696,not sexist
sexism2022_english-4084,sexist
sexism2022_english-15909,sexist
sexism2022_english-7486,not sexist
sexism2022_english-16357,not sexist
sexism2022_english-3022,not sexist
sexism2022_english-7878,sexist
sexism2022_english-11668,not sexist
sexism2022_english-17556,sexist
sexism2022_english-4099,not sexist
sexism2022_english-6928,not sexist
sexism2022_english-19741,sexist
sexism2022_english-6673,not sexist
sexism2022_english-2629,not sexist
sexism2022_english-11499,sexist
sexism2022_english-7562,not sexist
sexism2022_english-1027,not sexist
sexism2022_english-2167,not sexist
sexism2022_english-4322,sexist
sexism2022_english-3001,sexist
sexism2022_english-13900,not sexist
sexism2022_english-4526,not sexist
sexism2022_english-12857,not sexist
sexism2022_english-12574,sexist
sexism2022_english-1079,not sexist
sexism2022_english-16030,not sexist
sexism2022_english-14722,not sexist
sexism2022_english-140,not sexist
sexism2022_english-11279,sexist
sexism2022_english-16733,sexist
sexism2022_english-1723,sexist
sexism2022_english-8125,not sexist
sexism2022_english-10104,sexist
sexism2022_english-15558,not sexist
sexism2022_english-8118,not sexist
sexism2022_english-15831,sexist
sexism2022_english-14410,not sexist
sexism2022_english-6924,not sexist
sexism2022_english-5036,not sexist
